Symbol,Count,Frequency,MedianOccurence,MinOccurence
ement ,1376,0.14688629868944542,346.0,12.0
e que ,1079,0.11518191590545904,430.0,6.0
 dans ,1029,0.10984447772633675,486.0,13.0
 chose,994,0.10610827100095113,340.0,12.0
 que j,981,0.10472053707437934,243.0,10.0
 qu'il,886,0.09457940453404699,452.5,11.0
 plus ,823,0.0878542324283529,621.0,7.0
 pour ,819,0.08742723737402312,672.0,11.0
qu'il ,805,0.08593275468386886,502.0,14.0
que je,772,0.08241004548564816,269.5,10.0
 de la,754,0.08048856774116414,755.0,12.0
 que l,735,0.07846034123309767,706.0,12.0
t que ,721,0.07696585854294342,701.0,11.0
s les ,712,0.07600511967070142,722.0,10.0
ue je ,712,0.07600511967070142,297.5,10.0
de la ,689,0.07354989810830516,793.0,12.0
quelqu,650,0.06938669632858978,719.0,16.0
dans l,647,0.06906645003784244,822.0,14.0
 comme,630,0.06725172105694086,968.5,14.0
uelque,629,0.06714497229335842,751.0,16.0
s que ,628,0.06703822352977597,773.5,10.0
 nous ,627,0.06693147476619353,194.0,4.0
e qui ,618,0.06597073589395151,861.0,18.0
 toute,614,0.06554374083962172,849.0,14.0
 ce qu,591,0.06308851927722547,928.0,17.0
lement,591,0.06308851927722547,786.0,15.0
 quelq,587,0.06266152422289568,766.0,16.0
 autre,536,0.05721733728019095,897.0,10.0
choses,528,0.05636334717153139,641.0,18.0
 point,525,0.05604310088078404,1060.0,13.0
elles ,506,0.05401487437271758,646.0,5.0
"e, et ",499,0.05326763302764046,1050.0,21.0
 de ce,496,0.052947386736893115,1107.5,15.0
e les ,493,0.05262714044614578,995.0,18.0
e chos,491,0.052413642918980895,611.0,12.0
 cette,486,0.05187989910106866,1038.0,14.0
"s, et ",485,0.05177315033748622,1195.0,14.0
 mais ,482,0.05145290404673888,1099.0,71.0
 sont ,474,0.05059891393807931,989.0,10.0
 que c,470,0.05017191888374953,975.5,6.0
 et qu,466,0.04974492382941975,1180.0,20.0
point ,465,0.0496381750658373,1171.0,13.0
 être ,462,0.04931792877508997,882.0,7.0
cette ,460,0.04910443124792507,1010.0,14.0
comme ,454,0.048463938666430395,1168.0,14.0
toutes,441,0.0470762047398586,954.0,22.0
 par l,439,0.046862707212693706,1024.0,13.0
s qui ,437,0.04664920968552882,1205.0,29.0
e de l,432,0.04611546586761659,1262.0,11.0
 tout ,431,0.04600871710403414,1188.0,14.0
s chos,423,0.04515472699537458,734.0,18.0
t pas ,423,0.04515472699537458,1324.0,27.0
 de l',421,0.044941229468209686,882.0,8.0
chose ,420,0.04483448070462724,703.5,12.0
outes ,415,0.04430073688671501,1062.0,22.0
nt de ,414,0.04419398812313256,1245.5,15.0
 vous ,414,0.04419398812313256,176.5,4.0
nature,412,0.04398049059596767,874.0,20.0
Candid,412,0.04398049059596767,330.0,10.0
andide,412,0.04398049059596767,330.0,10.0
autres,411,0.043873741832385224,1197.0,16.0
que ce,410,0.04376699306880278,1106.0,6.0
esprit,408,0.04355349554163789,958.5,9.0
es cho,407,0.04344674677805544,752.0,18.0
rement,405,0.04323324925089055,940.0,12.0
nt que,401,0.04280625419656077,1231.0,21.0
hoses ,398,0.04248600790581343,797.5,29.0
e tout,394,0.04205901285148365,1295.0,14.0
que le,388,0.04141852026998897,1267.5,31.0
 même ,388,0.04141852026998897,1296.5,15.0
ans le,388,0.04141852026998897,1322.5,15.0
 et de,387,0.041311771506406525,1236.0,13.0
"


",377,0.04024428387058207,72.0,1.0
", et q",368,0.03928354499834005,1537.0,20.0
 je ne,367,0.03917679623475761,802.0,11.0
elque ,366,0.039070047471175165,1045.5,16.0
 natur,365,0.03896329870759272,921.0,20.0
e plus,365,0.03896329870759272,1382.0,11.0
qu'ell,363,0.038749801180427826,794.0,21.0
u'elle,363,0.038749801180427826,794.0,21.0
ce que,362,0.03864305241684538,1149.5,16.0
je ne ,353,0.03768231354460337,863.0,11.0
 aussi,353,0.03768231354460337,1440.0,13.0
 avec ,350,0.03736206725385603,1455.0,12.0
 bien ,349,0.03725531849027359,1650.0,14.0
t les ,349,0.03725531849027359,1461.0,11.0
raison,349,0.03725531849027359,1138.0,21.0
 grand,343,0.03661482590877891,1159.0,26.0
quelle,341,0.03640132838161402,1029.0,22.0
es de ,340,0.03629457961803157,1737.0,9.0
 peut ,336,0.03586758456370179,945.0,19.0
s de l,333,0.035547338272954455,1527.0,23.0
avoir ,333,0.035547338272954455,1571.0,19.0
 Candi,333,0.035547338272954455,389.0,36.0
e nous,332,0.03544058950937201,515.0,15.0
ent qu,329,0.03512034321862467,1417.0,25.0
que j',327,0.03490684569145978,713.0,20.0
existe,325,0.03469334816429489,368.0,15.0
 les c,324,0.034586599400712445,1548.0,21.0
", qui ",323,0.03447985063713,1709.0,8.0
encore,322,0.03437310187354755,1727.5,20.0
 c'est,321,0.0342663531099651,1149.0,16.0
re que,317,0.033839358055635316,1213.0,15.0
 qui s,313,0.03341236300130554,1584.0,27.0
 conno,311,0.033198865474140644,1045.0,25.0
aussi ,308,0.03287861918339331,1658.0,14.0
e des ,306,0.03266512165622842,1434.5,20.0
 raiso,306,0.03266512165622842,1232.5,30.0
es qui,305,0.03255837289264597,1585.0,29.0
e pour,304,0.03245162412906353,1889.0,30.0
 qu'el,303,0.03234487536548108,1104.0,21.0
r les ,303,0.03234487536548108,1488.0,15.0
e Dieu,303,0.03234487536548108,624.0,12.0
 qui e,302,0.032238126601898634,1527.0,13.0
cartes,301,0.03213137783831619,511.0,13.0
ment d,300,0.032024629074733746,1688.5,35.0
ent de,299,0.0319178803111513,1980.0,26.0
Descar,297,0.0317043827839864,516.0,13.0
escart,297,0.0317043827839864,516.0,13.0
scarte,297,0.0317043827839864,516.0,13.0
et de ,297,0.0317043827839864,1871.0,13.0
entend,295,0.03149088525682151,795.0,11.0
ation ,294,0.03138413649323907,1392.5,11.0
 que d,293,0.03127738772965662,1751.0,31.0
oient ,292,0.031170638966074173,995.0,17.0
es les,291,0.03106389020249173,1466.0,11.0
ncore ,289,0.030850392675326837,1816.0,55.0
 et le,287,0.030636895148161945,1769.0,12.0
t de l,286,0.0305301463845795,1702.0,11.0
utres ,282,0.030103151330249718,1500.5,16.0
" que
",281,0.029996402566667274,1693.0,69.0
", que ",280,0.029889653803084826,1899.0,14.0
 les p,279,0.029782905039502382,1498.0,13.0
tions ,279,0.029782905039502382,1253.0,12.0
 homme,277,0.02956940751233749,1263.0,16.0
 à la ,275,0.0293559099851726,1877.0,9.0
"e.

",274,0.029249161221590148,1782.0,19.0
", mais",273,0.029142412458007704,1781.0,86.0
e qu'i,272,0.029035663694425257,1470.0,20.0
que no,272,0.029035663694425257,628.0,20.0
" les
",271,0.028928914930842813,1978.0,63.0
 encor,270,0.028822166167260365,1778.0,20.0
re de ,269,0.02871541740367792,2151.0,11.0
connoi,268,0.028608668640095473,1265.0,26.0
onnois,268,0.028608668640095473,1252.0,26.0
 sans ,268,0.028608668640095473,2063.0,11.0
 vérit,267,0.02850191987651303,1561.0,26.0
 tous ,267,0.02850191987651303,1715.0,21.0
t des ,265,0.028288422349348138,1957.0,13.0
 aucun,265,0.028288422349348138,1371.0,11.0
l est ,263,0.028074924822183246,1711.0,11.0
issanc,263,0.028074924822183246,1422.0,15.0
ssance,263,0.028074924822183246,1422.0,15.0
 corps,263,0.028074924822183246,576.0,12.0
 qui n,262,0.027968176058600802,1931.5,18.0
e dans,261,0.027861427295018355,1935.0,13.0
"ment, ",261,0.027861427295018355,1854.0,29.0
 seule,261,0.027861427295018355,1576.0,12.0
distin,260,0.02775467853143591,679.0,58.0
"es, et",260,0.02775467853143591,2099.0,14.0
t dans,260,0.02775467853143591,2030.0,22.0
ce qui,260,0.02775467853143591,2188.0,18.0
 les a,260,0.02775467853143591,2429.0,19.0
tes le,258,0.02754118100427102,1561.5,22.0
 cause,257,0.027434432240688575,633.0,23.0
moins ,255,0.027220934713523683,2055.0,13.0
 que n,254,0.027114185949941236,925.5,17.0
ous le,250,0.02668719089561145,2041.0,21.0
 Desca,249,0.026580442132029005,590.0,13.0
utes l,249,0.026580442132029005,1560.0,22.0
 n'est,249,0.026580442132029005,1378.0,16.0
e est ,249,0.026580442132029005,1804.0,26.0
autre ,249,0.026580442132029005,2036.0,16.0
il est,248,0.026473693368446558,1577.5,11.0
ant qu,248,0.026473693368446558,1854.0,35.0
