Symbol,Count,Frequency,MedianOccurence,MinOccurence
t le ,418,0.044620983177462346,1213.0,10.0
ns le,418,0.044620983177462346,1241.0,11.0
ction,416,0.04440748565029745,918.0,10.0
 conn,416,0.04440748565029745,866.0,11.0
bien ,415,0.04430073688671501,1262.0,14.0
avec ,415,0.04430073688671501,1227.0,12.0
natur,412,0.04398049059596767,874.0,20.0
uelle,412,0.04398049059596767,939.5,17.0
Candi,412,0.04398049059596767,330.0,10.0
andid,412,0.04398049059596767,330.0,10.0
ndide,412,0.04398049059596767,330.0,10.0
ue ce,411,0.043873741832385224,1088.0,6.0
utres,411,0.043873741832385224,1197.0,16.0
t qu',410,0.04376699306880278,981.5,10.0
sprit,409,0.043660244305220336,939.0,9.0
espri,408,0.04355349554163789,958.5,9.0
 puis,407,0.04344674677805544,725.0,10.0
remen,407,0.04344674677805544,956.0,12.0
re de,405,0.04323324925089055,1455.0,11.0
s par,404,0.04312650048730811,1307.5,18.0
e nou,404,0.04312650048730811,659.5,15.0
", il ",402,0.042913002960143214,1330.5,19.0
aison,401,0.04280625419656077,1112.0,13.0
oses ,398,0.04248600790581343,797.5,29.0
avoir,397,0.042379259142230986,1310.0,19.0
 son ,397,0.042379259142230986,1078.0,13.0
 leur,394,0.04205901285148365,1007.0,11.0
 qu'e,393,0.041952264087901196,861.0,9.0
ue le,391,0.04173876656073631,1267.0,31.0
t en ,391,0.04173876656073631,1288.0,9.0
aire ,390,0.041632017797153864,1339.0,16.0
 la c,389,0.04152526903357142,1165.0,15.0
aussi,388,0.04141852026998897,1352.5,13.0
 avec,388,0.04141852026998897,1281.0,12.0
grand,385,0.04109827397924164,1100.0,24.0
sembl,384,0.040991525215659186,1135.5,20.0
'elle,383,0.04088477645207674,794.0,21.0
 de p,383,0.04088477645207674,1406.0,7.0
 la p,381,0.040671278924911854,1678.0,11.0
e des,381,0.040671278924911854,1131.0,19.0
t les,381,0.040671278924911854,1361.0,11.0
je ne,381,0.040671278924911854,768.0,11.0
"

",377,0.04024428387058207,72.0,1.0
"


",377,0.04024428387058207,72.0,1.0
; et ,376,0.040137535106999626,1427.0,49.0
 part,375,0.04003078634341718,1549.0,27.0
e plu,375,0.04003078634341718,1373.0,11.0
aucun,374,0.03992403757983473,913.0,11.0
les c,373,0.03981728881625229,1276.0,21.0
 seul,372,0.03971054005266984,1192.0,12.0
t la ,372,0.03971054005266984,1636.5,11.0
que d,368,0.03928354499834005,1441.0,31.0
r de ,367,0.03917679623475761,1515.0,9.0
 lui ,367,0.03917679623475761,941.0,9.0
", qui",367,0.03917679623475761,1484.0,8.0
lque ,366,0.039070047471175165,1045.5,16.0
ent e,366,0.039070047471175165,1360.5,12.0
 natu,365,0.03896329870759272,921.0,20.0
"que
",365,0.03896329870759272,1356.0,69.0
exist,365,0.03896329870759272,343.0,15.0
tres ,364,0.03885654994401027,1288.5,5.0
