Symbol,Count,Frequency,MedianOccurence,MinOccurence
 ,142842,15.248206887643722,5.55805715405833,0
e,112881,12.049907181950065,7.298712803749081,0
s,59875,6.391582219498942,14.645461377870564,0
n,52866,5.64338013554958,16.719574017326828,0
t,52105,5.562144326463338,16.97833221379906,0
i,51339,5.480374773559185,17.24607023899959,0
u,47497,5.070246023875429,18.722508790028844,1
a,45607,4.868490860704606,19.53976363277567,0
r,43845,4.6803995392723365,20.36514996008667,0
o,42049,4.488678759878264,21.27805655306904,0
l,35149,3.7521122911593876,25.65060172408888,0
d,25063,2.6754442616668395,36.37401747596058,0
c,22926,2.4473221538911525,39.85837040914246,0
p,20138,2.149706601023294,45.51301022941702,0
m,20120,2.1477851232788097,45.55730616302187,0
"",15429,1.6470266733135563,59.71540605353555,1
"
",15429,1.6470266733135563,59.71547086655001,1
q,13100,1.39840880293004,70.38770992366412,3
é,12539,1.338522746560288,72.2024882367015,0
",",11981,1.2789569364812832,77.1822051581671,2
v,9824,1.0486998534339476,94.34324104234528,1
',8958,0.9562554241715495,101.47722705961152,3
f,7186,0.7670966151034556,129.32883384358476,0
h,5836,0.6229857842671538,159.51267991775188,1
g,5486,0.5856237170132976,169.73186292380606,1
b,5176,0.5525316003027395,179.98106646058733,0
j,4686,0.500224706147341,198.87665386256936,2
.,4591,0.4900835736070087,203.04552385101286,0
à,2970,0.317043827839864,307.9259259259259,1
x,2736,0.2920646171615717,340.8951023391813,2
y,2551,0.2723160958988192,366.1673853390827,1
è,2201,0.2349540286449632,415.8023625624716,4
;,2163,0.2308975756288303,423.0795191863153,12
ê,2074,0.22139693566999263,441.2164898746384,3
’,2018,0.21541900490937563,461.8181367690783,3
-,1845,0.1969514688096125,505.42493224932247,0
C,1610,0.17186550936773773,579.5596273291925,0
E,1441,0.1538249683223044,647.8285912560722,0
I,1412,0.15072925417841349,661.7542492917847,0
D,1341,0.14315009196405984,696.7061894108874,0
M,906,0.0967143798056959,1032.5805739514349,0
:,825,0.08806772995551779,1134.1454545454546,18
z,824,0.08796098119193534,1131.7912621359224,3
P,813,0.08678674479252844,1151.0528905289052,2
A,796,0.08497201581162686,1175.6922110552764,1
L,757,0.08080881403191147,1236.3011889035668,0
T,748,0.07984807515966946,1251.0307486631016,0
S,726,0.07749960236085565,1288.6528925619834,0
O,696,0.07429713945338229,1342.3520114942528,0
_,630,0.06725172105694086,1455.952380952381,2
w,583,0.06223452916856591,1605.8010291595197,0
N,553,0.05903206626109253,1689.7305605786619,0
R,528,0.05636334717153139,1768.9848484848485,0
ç,521,0.05561610582645426,1742.1497120921306,8
1,443,0.047289702267023496,2108.4085778781036,0
î,442,0.047182953503441045,2074.205882352941,4
â,440,0.04696945597627615,2083.8636363636365,6
V,388,0.04141852026998897,2402.6701030927834,1
?,387,0.041311771506406525,2366.9948320413437,12
J,354,0.037789062308185815,2596.0225988700563,2
ô,328,0.03501359445504223,2780.5975609756097,7
k,315,0.03362586052847043,2972.8761904761905,3
U,305,0.03255837289264597,3068.7901639344263,1
G,292,0.031170638966074173,3206.626712328767,2
B,291,0.03106389020249173,3218.134020618557,0
û,287,0.030636895148161945,3179.048780487805,5
ù,270,0.028822166167260365,3284.788888888889,15
H,262,0.027968176058600802,3571.087786259542,3
X,226,0.024125220569632753,4118.261061946902,0
F,222,0.02369822551530297,4218.166666666667,0
[,219,0.02337797922455563,4189.808219178082,7
],219,0.02337797922455563,4189.817351598173,7
!,218,0.023271230460973184,4211.256880733945,3
Q,170,0.018147289809015785,5468.782352941176,15
6,166,0.017720294754686006,5624.740963855422,0
É,155,0.0165460583552791,5912.354838709677,0
2,126,0.013450344211388172,7408.515873015873,0
™,114,0.012169359048398823,8214.578947368422,21
7,110,0.011742363994069038,8488.8,0
4,105,0.01120862017615681,8894.590476190477,0
3,94,0.010034383776749907,9928.648936170213,0
*,91,0.009714137486002567,10086.956043956045,0
5,83,0.008860147377343003,11273.674698795181,0
(,79,0.008433152323013218,11827.683544303798,2
),79,0.008433152323013218,11827.848101265823,2
0,78,0.008326403559430772,11981.935897435897,0
«,70,0.007472413450771207,12267.3,9
»,67,0.007152167160023868,12822.865671641792,15
Y,65,0.006938669632858978,14330.938461538462,3
8,63,0.006725172105694086,14822.444444444445,0
9,57,0.006084679524199411,16382.719298245614,9
È,42,0.0044834480704627235,16975.285714285714,21
—,37,0.0039497042525504945,24839.81081081081,0
ï,33,0.0035227091982207117,27757.939393939392,12
W,29,0.0030957141438909285,32243.0,7
K,25,0.0026687190895611453,37236.84,22
“,22,0.002348472798813808,42235.72727272727,54
”,22,0.002348472798813808,42237.181818181816,54
Ê,19,0.0020282265080664706,36466.10526315789,94
/,14,0.0014944826901542414,66840.28571428571,298
°,11,0.001174236399406904,28374.272727272728,16
ë,9,0.0009607388722420123,98276.22222222222,61
•,8,0.0008539901086595665,115999.0,262
…,8,0.0008539901086595665,114552.25,0
Ç,4,0.00042699505432978324,156666.75,118
$,4,0.00042699505432978324,233617.25,5
º,4,0.00042699505432978324,179544.5,50
Î,3,0.0003202462907473374,230872.0,53884
Z,3,0.0003202462907473374,305332.6666666667,74877
﻿,2,0.00010674876358244581,711949.0,711949
#,2,0.00021349752716489162,356277.5,611
À,2,0.00021349752716489162,359798.0,351964
%,2,0.00021349752716489162,463223.0,224829
‘,2,0.00021349752716489162,465451.0,224829
Â,1,0.00010674876358244581,719617.0,719617
