Symbol,Count,Frequency,MedianOccurence,MinOccurence
es ,9715,1.037064238203461,39.0,3.0
 qu,9524,1.0166752243592139,63.0,3.0
 de,8654,0.9238038000424861,70.0,2.0
que,7207,0.7693383391386869,73.0,3.0
de ,6797,0.7255713460698842,87.0,2.0
nt ,6563,0.7005921353915918,86.0,4.0
ent,6494,0.693226470704403,88.0,2.0
 le,5160,0.5508236200854204,101.0,2.0
ue ,4987,0.5323560839856573,104.0,3.0
re ,4572,0.4880553470989422,129.0,3.0
les,4241,0.45272150635315267,99.0,3.0
et ,4234,0.4519742650080755,154.0,2.0
e d,4125,0.44033864977758896,147.0,2.0
 et,4103,0.4379901769787751,158.0,5.0
le ,3988,0.4257140691667939,141.0,2.0
e l,3880,0.4141852026998898,151.5,2.0
ne ,3769,0.40233608994223824,144.0,2.0
 co,3688,0.39368944009206014,158.5,4.0
 pa,3602,0.3845090464239698,167.0,3.0
 la,3548,0.3787446131905177,157.5,2.0
it ,3523,0.3760758941009566,139.0,3.0
e c,3465,0.36988446581317475,150.0,2.0
"e, ",3395,0.3624120523624035,174.0,4.0
"e
",3351,0.3577151067647759,208.0,19.0
la ,3316,0.3539789000393903,162.0,4.0
 ce,3309,0.35323165869431317,175.0,3.0
e p,3286,0.3507764371319169,182.0,4.0
tre,3203,0.3419162897545739,179.0,4.0
ns ,3044,0.324943236344965,192.0,4.0
on ,3043,0.3248364875813826,187.0,3.0
 en,2960,0.3159763402040396,198.0,2.0
lle,2934,0.313200872350896,172.0,4.0
en ,2923,0.3120266359514891,195.0,2.0
s d,2897,0.3092511680983455,196.0,3.0
e s,2890,0.3085039267532684,199.0,2.0
men,2873,0.3066891977723668,189.0,4.0
"s, ",2836,0.30273949351981627,198.0,6.0
is ,2818,0.30081801577533224,194.0,3.0
e q,2779,0.2966548139956169,186.0,3.0
us ,2713,0.2896093955991755,155.0,4.0
t d,2710,0.28928914930842814,222.0,3.0
par,2640,0.28181673585765693,212.0,3.0
il ,2629,0.28064249945825004,179.0,5.0
ui ,2610,0.27861427295018354,216.0,3.0
qui,2586,0.2760523026242048,225.0,5.0
est,2506,0.2675124015376092,189.0,4.0
 se,2468,0.26345594852147625,229.0,2.0
ell,2365,0.25246082587248436,192.0,4.0
con,2365,0.25246082587248436,218.0,7.0
 so,2268,0.24210619580498707,240.0,3.0
", e",2227,0.2377294964981068,284.0,3.0
"s
",2214,0.23634176257153502,284.0,31.0
ais,2208,0.23570126999004037,284.0,4.0
ant,2198,0.2346337823542159,255.0,2.0
 po,2198,0.2346337823542159,259.0,4.0
er ,2178,0.23249880708256696,267.0,5.0
me ,2178,0.23249880708256696,257.0,2.0
qu',2175,0.23217856079181962,184.0,5.0
ien,2129,0.22726811766702712,274.0,4.0
 au,2120,0.2263073787947851,263.0,3.0
our,2110,0.22523989115896065,267.5,5.0
eme,2107,0.22491964486821334,243.0,10.0
ce ,2101,0.22427915228671863,270.0,2.0
se ,2072,0.2211834381428277,256.0,2.0
s l,2072,0.2211834381428277,273.5,3.0
s p,2060,0.21990245297983835,270.5,3.0
 à ,2045,0.21830122152610168,266.0,5.0
 un,2038,0.21755398018102456,252.5,6.0
ion,2021,0.21573925120012297,264.0,9.0
ur ,2019,0.21552575367295806,273.0,3.0
ous,2009,0.2144582660371336,132.0,4.0
 je,2002,0.2137110246920565,153.0,2.0
t p,1993,0.21275028581981448,291.0,5.0
ont,1974,0.21072205931174803,239.0,4.0
tou,1970,0.21029506425741823,292.0,4.0
 to,1960,0.20922757662159377,302.0,6.0
e n,1959,0.2091208278580113,246.0,2.0
 pe,1925,0.20549136989620817,285.0,4.0
ons,1917,0.2046373797875486,242.0,4.0
e m,1905,0.20335639462455926,269.0,2.0
je ,1905,0.20335639462455926,148.0,7.0
 l',1892,0.20196866069798744,212.0,5.0
out,1890,0.2017551631708226,307.5,6.0
 ne,1883,0.20100792182574542,293.0,7.0
des,1882,0.200901173062163,239.0,3.0
s c,1863,0.19887294655409654,297.0,3.0
eur,1839,0.19631097622811786,265.0,4.0
te ,1804,0.19257476950273222,315.0,4.0
t l,1794,0.19150728186690777,302.5,7.0
st ,1791,0.19118703557616043,243.0,8.0
 mo,1760,0.1878778239051046,292.0,3.0
s a,1753,0.1871305825600275,337.0,3.0
une,1750,0.18681033626928017,306.0,4.0
 ma,1735,0.18520910481554348,349.0,2.0
"t
",1711,0.18264713448956477,363.0,59.0
s q,1708,0.18232688819881743,321.5,8.0
ire,1705,0.18200664190807012,324.0,6.0
ans,1698,0.18125940056299297,312.5,4.0
son,1671,0.17837718394626695,338.0,3.0
 ch,1662,0.17741644507402493,335.0,6.0
e e,1643,0.17538821856595846,333.0,4.0
t q,1642,0.17528146980237602,332.5,7.0
oit,1638,0.17485447474804625,210.0,5.0
 pr,1636,0.17464097722088134,353.5,7.0
s s,1636,0.17464097722088134,344.5,4.0
ois,1633,0.174320730930134,249.0,3.0
res,1594,0.17015752915041862,333.5,3.0
ait,1590,0.16973053409608882,231.0,2.0
 di,1588,0.16951703656892395,318.0,3.0
"
",1562,0.16674156871578036,200.0,1.0
"

",1562,0.16674156871578036,200.0,1.0
pou,1562,0.16674156871578036,349.0,4.0
 no,1560,0.16652807118861546,207.0,3.0
tio,1523,0.16257836693606495,323.0,9.0
 il,1518,0.16204462311815274,335.5,9.0
 es,1482,0.1582016676291847,337.5,3.0
voi,1468,0.15670718493903044,352.0,5.0
tes,1460,0.15585319483037088,355.5,6.0
nce,1453,0.15510595348529377,348.0,8.0
ut ,1445,0.1542519633766342,391.0,3.0
un ,1442,0.15393171708588685,355.5,4.0
e j,1442,0.15393171708588685,188.5,2.0
ar ,1440,0.15371821955872195,351.0,3.0
r l,1426,0.15222373686856772,367.5,4.0
omm,1425,0.15211698810498528,378.0,5.0
