Symbol,Count,Frequency,MedianOccurence,MinOccurence
 de ,5734,0.6120974103817443,102.0,5.0
 que,4792,0.5115400750870803,106.0,3.0
que ,4732,0.5051351492721335,107.0,3.0
 et ,3678,0.3926219524562357,172.0,6.0
ent ,3605,0.3848292927147171,153.0,6.0
les ,3350,0.35760835800119345,135.0,3.0
 la ,2840,0.3031664885741461,188.5,6.0
e qu,2779,0.2966548139956169,186.0,3.0
ment,2682,0.2863001839281197,198.0,7.0
 les,2672,0.2852326962922952,178.0,7.0
e de,2358,0.2517135845274072,236.5,2.0
elle,2311,0.24669639263903226,193.0,4.0
 qui,2263,0.24157245198707486,260.0,8.0
qui ,2103,0.22449264981388353,272.0,8.0
 par,2090,0.22310491588731174,264.5,3.0
emen,2035,0.2172337338902772,249.0,11.0
tre ,1836,0.1959907299373705,288.5,4.0
 qu',1806,0.19278826702989713,227.5,7.0
", et",1774,0.18937230659525886,348.5,5.0
 je ,1767,0.18862506525018174,160.0,7.0
 con,1759,0.1877710751415222,278.0,9.0
est ,1753,0.1871305825600275,238.0,8.0
 le ,1743,0.18606309492420303,285.0,7.0
 en ,1720,0.18360787336180678,313.0,6.0
 tou,1709,0.1824336369623999,324.0,6.0
s qu,1708,0.18232688819881743,321.5,8.0
 ne ,1668,0.1780569376555196,321.0,7.0
ous ,1662,0.17741644507402493,154.0,4.0
de l,1657,0.1768827012561127,320.0,6.0
t qu,1642,0.17528146980237602,332.5,7.0
s de,1637,0.17474772598446378,320.0,3.0
 des,1590,0.16973053409608882,286.0,3.0
"

",1562,0.16674156871578036,200.0,1.0
tion,1523,0.16257836693606495,323.0,9.0
t de,1495,0.1595894015557565,365.0,7.0
ans ,1488,0.15884216021067937,361.5,4.0
des ,1469,0.15681393370261287,293.0,5.0
une ,1431,0.15275748068647996,364.0,5.0
 pou,1379,0.14720654498019278,419.0,4.0
e la,1357,0.14485807218137897,402.0,10.0
ant ,1339,0.14293659443689494,412.0,5.0
lle ,1307,0.13952063400225667,327.0,6.0
oit ,1295,0.13823964883926732,244.0,5.0
pour,1289,0.13759915625777264,420.0,11.0
"es, ",1282,0.13685191491269552,414.0,7.0
tout,1270,0.1355709297497062,417.0,12.0
 il ,1267,0.13525068345895883,389.0,11.0
omme,1257,0.13418319582313437,412.0,5.0
 pas,1257,0.13418319582313437,432.0,5.0
s le,1207,0.1288457576440121,476.0,3.0
plus,1202,0.12831201382609986,443.0,7.0
 plu,1197,0.12777827000818762,447.0,7.0
 est,1194,0.1274580237174403,371.0,4.0
dans,1193,0.12735127495385784,428.0,13.0
e ce,1169,0.12478930462787916,451.0,5.0
quel,1158,0.12361506822847225,426.5,6.0
ue j,1154,0.12318807317414247,205.0,8.0
 dan,1119,0.11945186644875685,451.0,13.0
e le,1117,0.11923836892159195,486.0,2.0
ais ,1108,0.11827763004934996,532.5,7.0
e co,1096,0.11699664488636059,478.0,7.0
ait ,1095,0.11688989612277817,283.0,4.0
chos,1093,0.11667639859561327,311.0,12.0
hose,1093,0.11667639859561327,311.0,12.0
es d,1083,0.11560891095978881,470.0,3.0
 com,1082,0.11550216219620636,508.5,7.0
par ,1080,0.11528866466904146,422.5,10.0
ont ,1074,0.1146481720875468,419.5,10.0
 ce ,1066,0.11379418197888724,514.0,6.0
nt d,1050,0.11208620176156808,534.0,9.0
our ,1038,0.11080521659857874,515.0,6.0
 cho,1035,0.11048497030783141,347.0,12.0
qu'i,1028,0.1097377289627543,390.0,11.0
 son,1021,0.10899048761767716,502.0,3.0
es c,1020,0.10888373885409473,481.0,3.0
u'il,1019,0.10877699009051228,395.0,11.0
"es
",999,0.10664201481886337,576.0,59.0
ois ,994,0.10610827100095113,342.0,4.0
pas ,993,0.10600152223736868,497.0,5.0
être,991,0.1057880247102038,466.0,7.0
tes ,986,0.10525428089229157,526.0,6.0
", qu",984,0.10504078336512666,615.5,8.0
oute,976,0.1041867932564671,549.5,7.0
es p,970,0.10354630067497245,507.0,6.0
ons ,960,0.10247881303914798,446.5,11.0
 une,945,0.1008775815854113,571.0,9.0
".
",926,0.09884935507734481,624.0,7.0
t le,921,0.09831561125943258,567.0,10.0
lus ,914,0.09756836991435547,552.5,7.0
'il ,910,0.09714137486002568,428.0,10.0
t pa,898,0.09586038969703634,603.5,7.0
ses ,891,0.0951131483519592,582.0,6.0
ire ,884,0.09436590700688209,617.5,6.0
e je,880,0.0939389119525523,254.0,10.0
 un ,873,0.09319167060747519,527.0,9.0
ion ,872,0.09308492184389273,547.5,10.0
 nou,871,0.0929781730803103,215.0,4.0
utre,871,0.0929781730803103,582.0,7.0
mais,866,0.09244442926239807,646.0,5.0
de c,856,0.09137694162657362,690.0,9.0
ce q,847,0.0904162027543316,618.0,6.0
aire,847,0.0904162027543316,597.0,14.0
comm,844,0.09009595646358426,725.5,12.0
ue l,838,0.0894554638820896,621.0,12.0
autr,836,0.08924196635492469,611.5,9.0
nous,834,0.0890284688277598,153.0,4.0
 peu,828,0.08838797624626513,565.5,5.0
e l',826,0.08817447871910024,482.5,7.0
ient,803,0.08571925715670398,591.0,5.0
'est,783,0.08358428188505507,461.0,9.0
même,771,0.08230329672206572,643.0,10.0
e so,771,0.08230329672206572,701.0,6.0
t en,759,0.08102231155907637,725.0,9.0
ns l,758,0.08091556279549392,697.5,11.0
lles,754,0.08048856774116414,485.0,5.0
et d,750,0.08006157268683436,706.5,11.0
e se,744,0.07942108010533969,716.5,2.0
e pa,743,0.07931433134175724,749.0,5.0
 ou ,739,0.07888733628742745,538.0,7.0
ouve,733,0.07824684370593278,735.0,5.0
es s,731,0.07803334617876789,636.0,7.0
voir,731,0.07803334617876789,707.0,7.0
es a,723,0.07717935607010833,791.0,6.0
avoi,720,0.07685910977936097,656.0,14.0
r le,714,0.07621861719786631,726.0,7.0
 du ,712,0.07600511967070142,679.0,5.0
"re, ",712,0.07600511967070142,825.5,9.0
 mai,707,0.07547137585278918,842.0,6.0
"e, e",705,0.07525787832562429,763.0,10.0
ue c,704,0.07515112956204185,647.0,6.0
ien ,701,0.0748308832712945,780.0,8.0
"
qu",694,0.0740836419262174,843.0,67.0
e pe,689,0.07354989810830516,651.0,6.0
e ne,686,0.07322965181755782,729.5,11.0
atio,681,0.07269590799964559,632.0,9.0
urs ,680,0.07258915923606314,758.5,6.0
n de,678,0.07237566170889825,851.0,6.0
eux ,678,0.07237566170889825,728.0,4.0
s pa,672,0.07173516912740358,843.5,18.0
res ,670,0.07152167160023869,810.0,5.0
uelq,666,0.07109467654590891,700.0,15.0
elqu,666,0.07109467654590891,700.0,15.0
ions,663,0.07077443025516157,648.0,12.0
e ch,661,0.07056093272799667,655.0,6.0
ette,660,0.07045418396441423,767.5,6.0
mme ,658,0.07024068643724934,851.5,5.0
re d,656,0.07002718891008446,878.0,9.0
es q,652,0.06960019385575467,710.0,10.0
e et,648,0.06917319880142489,836.5,28.0
leur,646,0.06895970127426,651.0,8.0
eurs,641,0.06842595745634776,759.0,6.0
"de
",640,0.06831920869276531,991.0,52.0
"s, e",638,0.06810571116560042,894.0,14.0
 si ,638,0.06810571116560042,740.5,8.0
 vou,636,0.06789221363843553,203.0,4.0
nt p,635,0.0677854648748531,840.0,5.0
nt q,634,0.06767871611127063,717.0,21.0
tant,634,0.06767871611127063,882.0,5.0
 se ,633,0.0675719673476882,844.0,11.0
 aut,632,0.06746521858410574,770.0,10.0
lque,629,0.06714497229335842,751.0,16.0
 pro,625,0.06671797723902863,885.0,8.0
ente,625,0.06671797723902863,677.0,11.0
"nt, ",625,0.06671797723902863,933.0,13.0
eur ,624,0.06661122847544618,688.5,6.0
 fai,622,0.06639773094828129,884.0,13.0
 moi,621,0.06629098218469884,540.0,8.0
 cel,620,0.0661842334211164,795.5,22.0
e no,619,0.06607748465753395,476.0,5.0
oir ,619,0.06607748465753395,871.0,7.0
ne p,619,0.06607748465753395,861.0,9.0
vous,619,0.06607748465753395,119.0,4.0
e to,618,0.06597073589395151,923.5,6.0
 mon,617,0.06586398713036906,777.0,8.0
nce ,614,0.06554374083962172,884.5,14.0
es e,613,0.06543699207603927,758.0,6.0
 don,612,0.06533024331245683,896.5,14.0
oint,611,0.06522349454887438,881.0,13.0
s co,608,0.06490324825812706,935.0,9.0
r de,607,0.06479649949454461,943.0,9.0
e po,606,0.06468975073096216,970.5,5.0
conn,599,0.06394250938588504,677.0,11.0
"nt
",598,0.0638357606223026,979.5,66.0
 cet,597,0.06372901185872015,873.0,14.0
e mo,594,0.0634087655679728,894.0,11.0
tres,591,0.06308851927722547,917.0,5.0
 êtr,591,0.06308851927722547,694.0,7.0
leme,591,0.06308851927722547,786.0,15.0
ance,588,0.06276827298647814,805.5,15.0
sent,588,0.06276827298647814,794.5,11.0
nt l,585,0.062448026695730796,880.0,11.0
son ,585,0.062448026695730796,885.0,6.0
poin,583,0.06223452916856591,950.0,13.0
ne s,574,0.06127379029632389,907.0,8.0
out ,571,0.06095354400557655,1019.0,13.0
ence,571,0.06095354400557655,835.0,12.0
s au,569,0.060740046478411656,999.0,6.0
sont,569,0.060740046478411656,785.0,10.0
" de",567,0.06052654895124677,1068.0,55.0
de s,567,0.06052654895124677,789.0,10.0
t ce,565,0.06031305142408188,972.0,8.0
je n,564,0.060206302660499436,513.0,11.0
nt e,559,0.0596725588425872,926.0,8.0
 à l,557,0.059459061315422314,838.0,9.0
et l,551,0.05881856873392764,1008.0,7.0
 lui,551,0.05881856873392764,712.0,7.0
 me ,551,0.05881856873392764,468.0,10.0
ces ,546,0.05828482491601541,832.5,6.0
il n,545,0.058178076152432964,920.0,20.0
int ,544,0.05807132738885051,1076.5,13.0
able,543,0.057964578625268076,1017.0,20.0
peut,540,0.05764433233452073,754.5,15.0
pens,539,0.05753758357093829,635.0,13.0
 dis,538,0.05743083480735584,848.5,17.0
 soi,538,0.05743083480735584,723.0,3.0
de m,537,0.0573240860437734,790.0,11.0
 poi,537,0.0573240860437734,1042.0,13.0
bien,536,0.05721733728019095,952.5,14.0
 for,534,0.05700383975302606,1025.0,14.0
cont,534,0.05700383975302606,896.5,14.0
ière,533,0.05689709098944362,945.0,8.0
cett,532,0.05679034222586117,920.0,14.0
part,530,0.056576844698696276,1102.5,14.0
s se,529,0.05647009593511384,1039.0,9.0
oses,529,0.05647009593511384,641.0,18.0
tte ,528,0.05636334717153139,926.0,9.0
e vo,527,0.05625659840794894,711.0,7.0
re q,526,0.05614984964436649,808.0,9.0
 pen,525,0.05604310088078404,663.0,13.0
 l'e,524,0.055936352117201604,745.5,12.0
es l,524,0.055936352117201604,1051.0,3.0
s ch,524,0.055936352117201604,772.0,18.0
nten,516,0.05508236200854204,754.5,9.0
et q,515,0.05497561324495959,1115.0,20.0
"
de",513,0.0547621157177947,1204.0,67.0
on d,512,0.054655366954212255,1102.0,12.0
puis,511,0.054548618190629804,713.0,10.0
 tro,508,0.05422837189988247,944.0,8.0
 mêm,507,0.05412162313630002,989.0,13.0
ar l,507,0.05412162313630002,898.0,13.0
ême ,503,0.05369462808197024,941.0,15.0
idée,503,0.05369462808197024,307.0,9.0
Dieu,502,0.053587879318387786,438.5,7.0
t à ,499,0.05326763302764046,951.0,9.0
n qu,499,0.05326763302764046,925.0,9.0
fait,497,0.053054135500475566,993.0,11.0
ture,497,0.053054135500475566,890.0,20.0
t un,494,0.05273388920972823,1089.0,9.0
tend,492,0.05252039168256333,823.0,11.0
"
co",492,0.05252039168256333,1282.5,63.0
arti,488,0.05209339662823355,869.5,7.0
ique,486,0.05187989910106866,955.0,12.0
 ave,485,0.05177315033748622,998.0,12.0
ur l,484,0.05166640157390377,938.0,4.0
t co,484,0.05166640157390377,1200.5,12.0
lui ,482,0.05145290404673888,741.5,8.0
utes,478,0.051025908992409094,905.0,10.0
e re,472,0.05038541641091442,1246.0,18.0
e su,470,0.05017191888374953,937.5,5.0
", il",470,0.05017191888374953,1195.0,13.0
s et,470,0.05017191888374953,1078.0,14.0
s en,468,0.04995842135658464,1185.0,7.0
it p,467,0.04985167259300219,1075.0,14.0
ose ,466,0.04974492382941975,742.5,12.0
e en,466,0.04974492382941975,1219.0,6.0
qu'e,465,0.0496381750658373,744.0,9.0
onne,464,0.049531426302254856,1083.0,8.0
ille,463,0.049424677538672405,688.0,8.0
 dit,462,0.04931792877508997,485.0,3.0
de p,460,0.04910443124792507,1077.5,7.0
 bie,460,0.04910443124792507,1195.0,14.0
avec,460,0.04910443124792507,1109.5,12.0
ntre,458,0.048890933720760185,1081.5,14.0
 Die,454,0.048463938666430395,490.5,7.0
prit,453,0.04835718990284795,1029.0,9.0
auss,451,0.048143692375683056,1059.0,13.0
e à ,448,0.047823446084935724,1335.0,7.0
ne c,448,0.047823446084935724,994.5,13.0
"ent,",448,0.047823446084935724,1135.5,13.0
le p,447,0.04771669732135328,1252.0,7.0
 avo,447,0.04771669732135328,1150.0,19.0
onde,446,0.04760994855777083,933.0,18.0
e me,445,0.047503199794188385,874.0,2.0
onno,442,0.047182953503441045,832.0,25.0
t po,442,0.047182953503441045,1211.0,5.0
; et,441,0.0470762047398586,1290.0,49.0
t la,441,0.0470762047398586,1429.0,11.0
e pl,439,0.046862707212693706,1263.0,7.0
andi,439,0.046862707212693706,331.0,9.0
e pr,437,0.04664920968552882,1470.0,12.0
s so,435,0.04643571215836392,1345.0,10.0
ble ,434,0.04632896339478148,1242.5,12.0
es m,432,0.04611546586761659,1118.0,5.0
atur,432,0.04611546586761659,865.5,20.0
"re
",432,0.04611546586761659,1256.5,55.0
 ent,431,0.04600871710403414,1253.0,13.0
r qu,431,0.04600871710403414,1197.0,23.0
ense,430,0.045901968340451696,917.0,13.0
ussi,430,0.045901968340451696,1329.5,13.0
ison,430,0.045901968340451696,1087.0,13.0
reme,429,0.04579521957686925,1031.0,12.0
sse ,429,0.04579521957686925,1116.0,10.0
ue d,428,0.04568847081328681,1300.0,20.0
le d,427,0.04558172204970436,1391.0,6.0
rais,427,0.04558172204970436,1079.0,9.0
seul,425,0.04536822452253947,1093.0,12.0
ndre,424,0.045261475758957025,1226.0,10.0
 ell,423,0.04515472699537458,855.0,11.0
aiso,423,0.04515472699537458,1088.0,13.0
homm,422,0.04504797823179213,710.0,14.0
eut ,422,0.04504797823179213,984.5,19.0
s un,421,0.044941229468209686,1449.0,6.0
t au,421,0.044941229468209686,1300.0,6.0
rès ,420,0.04483448070462724,1220.5,13.0
asse,420,0.04483448070462724,1107.0,10.0
la p,419,0.0447277319410448,1427.0,11.0
rent,419,0.0447277319410448,799.0,6.0
 ces,418,0.044620983177462346,1179.5,10.0
vec ,418,0.044620983177462346,1217.0,12.0
ctio,416,0.04440748565029745,918.0,10.0
la c,416,0.04440748565029745,1071.0,15.0
e sa,415,0.04430073688671501,1400.0,16.0
enco,413,0.04408723935955012,1296.0,7.0
cons,413,0.04408723935955012,1220.0,15.0
rtes,412,0.04398049059596767,589.0,13.0
e au,412,0.04398049059596767,1375.0,6.0
natu,412,0.04398049059596767,874.0,20.0
mes ,412,0.04398049059596767,1288.5,10.0
uell,412,0.04398049059596767,939.5,17.0
Cand,412,0.04398049059596767,330.0,10.0
ndid,412,0.04398049059596767,330.0,10.0
dide,412,0.04398049059596767,330.0,10.0
iste,411,0.043873741832385224,523.0,15.0
ure ,411,0.043873741832385224,1009.0,6.0
espr,410,0.04376699306880278,981.0,9.0
"le
",409,0.043660244305220336,1414.0,64.0
spri,409,0.043660244305220336,939.0,9.0
 pui,407,0.04344674677805544,725.0,10.0
 d'a,405,0.04323324925089055,1100.0,7.0
embl,404,0.04312650048730811,1158.0,20.0
r la,404,0.04312650048730811,1340.0,14.0
 n'e,402,0.042913002960143214,990.0,15.0
"e
c",400,0.042699505432978326,1405.0,65.0
 per,400,0.042699505432978326,1347.5,18.0
re c,400,0.042699505432978326,1122.5,9.0
it d,398,0.04248600790581343,1204.0,3.0
s ce,394,0.04205901285148365,1465.5,3.0
 leu,394,0.04205901285148365,1007.0,11.0
and ,392,0.04184551532431875,816.0,5.0
rand,392,0.04184551532431875,1095.5,24.0
re e,392,0.04184551532431875,1399.0,6.0
isse,391,0.04173876656073631,1256.0,9.0
", je",391,0.04173876656073631,953.0,9.0
er d,390,0.041632017797153864,1492.0,9.0
 l'a,390,0.041632017797153864,1025.0,10.0
 nat,389,0.04152526903357142,873.0,9.0
 sur,389,0.04152526903357142,1124.0,6.0
gran,388,0.04141852026998897,1105.0,24.0
s po,388,0.04141852026998897,1456.0,6.0
"ue
",388,0.04141852026998897,1342.5,69.0
"la
",386,0.04120502274282408,1625.0,62.0
s la,385,0.04109827397924164,1541.0,18.0
 j'a,385,0.04109827397924164,662.0,14.0
semb,384,0.040991525215659186,1135.5,20.0
ns d,384,0.040991525215659186,1438.5,8.0
ité ,384,0.040991525215659186,1213.0,9.0
de t,384,0.040991525215659186,1663.0,14.0
"le, ",383,0.04088477645207674,1504.0,12.0
'ell,383,0.04088477645207674,794.0,21.0
rouv,383,0.04088477645207674,1312.0,18.0
e n',383,0.04088477645207674,978.0,15.0
ontr,383,0.04088477645207674,1126.0,14.0
nt c,382,0.0407780276884943,1432.5,10.0
le c,382,0.0407780276884943,1172.5,12.0
re p,379,0.04045778139774696,1734.0,6.0
"

",377,0.04024428387058207,72.0,1.0
endr,376,0.040137535106999626,1435.0,22.0
e fa,376,0.040137535106999626,1406.5,10.0
ils ,376,0.040137535106999626,640.5,13.0
ucun,376,0.040137535106999626,908.0,11.0
"ne
",375,0.04003078634341718,1708.0,64.0
aucu,374,0.03992403757983473,913.0,11.0
dit ,373,0.03981728881625229,509.0,3.0
nt a,373,0.03981728881625229,1707.0,10.0
 cor,373,0.03981728881625229,573.0,12.0
 seu,372,0.03971054005266984,1192.0,12.0
"e.
",372,0.03971054005266984,1453.5,19.0
 car,371,0.0396037912890874,1363.0,6.0
"e
p",369,0.0393902937619225,1558.0,64.0
il e,369,0.0393902937619225,1188.0,11.0
 pre,367,0.03917679623475761,1620.0,31.0
 on ,366,0.039070047471175165,1421.5,12.0
 au ,366,0.039070047471175165,1633.0,8.0
ques,366,0.039070047471175165,1355.0,4.0
 sui,366,0.039070047471175165,1028.0,11.0
 gra,365,0.03896329870759272,1123.0,26.0
"que",365,0.03896329870759272,1356.0,69.0
 san,365,0.03896329870759272,1209.0,11.0
moin,365,0.03896329870759272,1361.0,13.0
exis,365,0.03896329870759272,343.0,15.0
xist,365,0.03896329870759272,343.0,15.0
u'el,363,0.038749801180427826,794.0,21.0
soit,363,0.038749801180427826,1005.0,9.0
e tr,363,0.038749801180427826,1609.0,19.0
" la",363,0.038749801180427826,1657.0,62.0
c'es,363,0.038749801180427826,984.0,16.0
é de,362,0.03864305241684538,1384.0,12.0
d'un,361,0.03853630365326294,1195.0,11.0
ieu ,361,0.03853630365326294,946.0,10.0
re l,360,0.03842955488968049,1667.0,11.0
"les",360,0.03842955488968049,1447.0,63.0
vent,360,0.03842955488968049,1297.5,11.0
ère ,359,0.03832280612609804,1411.0,8.0
comp,359,0.03832280612609804,1278.0,10.0
es. ,358,0.0382160573625156,1459.0,42.0
issa,358,0.0382160573625156,1291.5,14.0
esse,357,0.038109308598933155,1455.0,8.0
dre ,356,0.03800255983535071,1669.5,7.0
corp,356,0.03800255983535071,485.5,12.0
e j',356,0.03800255983535071,650.0,20.0
 aus,355,0.03789581107176826,1444.0,13.0
rois,353,0.03768231354460337,1248.0,17.0
ui s,353,0.03768231354460337,1527.0,27.0
 sou,353,0.03768231354460337,1445.0,6.0
is p,352,0.03757556478102093,1209.5,17.0
ui e,352,0.03757556478102093,1273.5,13.0
la m,351,0.03746881601743848,1410.0,14.0
à la,350,0.03736206725385603,1499.0,9.0
oien,348,0.037148569726691144,852.0,17.0
'ai ,348,0.037148569726691144,602.0,22.0
", de",347,0.0370418209631087,1223.0,8.0
aux ,347,0.0370418209631087,1359.0,3.0
e ma,347,0.0370418209631087,1487.0,13.0
érit,344,0.036721574672361354,1459.0,26.0
la v,344,0.036721574672361354,1455.5,10.0
e es,344,0.036721574672361354,1330.0,7.0
"et
",343,0.03661482590877891,1958.0,65.0
ssan,342,0.036508077145196466,1273.5,12.0
rien,342,0.036508077145196466,1323.5,4.0
ce d,342,0.036508077145196466,1681.5,22.0
vant,340,0.03629457961803157,1652.0,22.0
sur ,340,0.03629457961803157,1177.5,13.0
ins ,340,0.03629457961803157,1540.5,7.0
